,rank,number,name,location
493,494,6819,Eastern Washington University,Cheney
494,495,4998,Academy of Art University,San Francisco
495,496,5673,Salisbury University,Salisbury
496,497,5630,Southeastern Louisiana University,Hammond
497,498,6872,Lawrence University,Appleton
498,499,6622,Tennessee State University,Nashville
499,500,6029,William Paterson University,Wayne
500,501,5036,"California State University, East Bay",Hayward
501,502,6111,Icahn School of Medicine at Mount Sinai,New York City
502,503,5620,Louisiana State University Health Sciences Center,New Orleans
503,504,6637,Abilene Christian University,Abilene
504,505,6336,The College of Wooster,Wooster
505,506,4946,Tuskegee University,Tuskegee
506,507,6541,Coastal Carolina University,Conway
507,508,5547,Maharishi International University,Fairfield
508,509,6520,Widener University,Chester
509,510,5345,University of North Georgia,Dahlonega
510,511,5665,Frostburg State University,Frostburg
511,512,6571,Winthrop University,Rock Hill
512,513,5666,Goucher College,Baltimore
513,514,6699,Texas Woman's University,Denton
514,515,6619,Rhodes College,Memphis
515,516,6118,New York Institute of Technology,Old Westbury
516,517,6529,Rhode Island College,Providence
517,518,5671,Morgan State University,Baltimore
518,519,5465,School of the Art Institute of Chicago,Chicago
519,520,6406,Western Oregon University,Monmouth
520,521,5503,Purdue University Fort Wayne,Fort Wayne
521,522,5570,Fort Hays State University,Hays
522,523,6742,Westminster College,Salt Lake City
523,524,5590,Berea College,Berea
524,525,6827,Pacific Lutheran University,Tacoma
525,526,6376,The University of Oklahoma Health Sciences Center,Oklahoma City
526,527,5354,Spelman College,Atlanta
527,528,6139,Sarah Lawrence College,Bronxville
528,529,16943,Valencia College,Orlando
529,530,5527,Wabash College,Crawfordsville
530,531,5997,Saint Anselm College,Manchester
531,532,6162,The State University of New York at Potsdam,Potsdam
532,533,5307,Agnes Scott College,Decatur
533,534,5234,Delaware State University,Dover
534,535,16806,Broward College,Fort Lauderdale
535,536,6778,Hampton University,Hampton
536,537,6834,University of Puget Sound,Tacoma
537,538,5216,Sacred Heart University,Fairfield
538,539,5680,Uniformed Services University of the Health Sciences,Bethesda
539,540,5925,Southeast Missouri State University,Cape Girardeau
540,541,5820,University of Detroit Mercy,Detroit
541,542,5525,University of Southern Indiana,Evansville
542,543,6160,SUNY College at Oneonta,Oneonta
543,544,5328,Georgia College and State University,Milledgeville
544,545,6746,Champlain College,Burlington
545,546,6769,Christopher Newport University,Newport News
546,547,6878,Milwaukee School of Engineering,Milwaukee
547,548,12172,Hult International Business School,Cambridge
548,549,5604,Murray State University,Murray
549,550,5834,St. Catherine University,Saint Paul
550,551,6333,Ohio Wesleyan University,Delaware
551,552,6678,St. Edward's University,Austin
552,553,5186,Metropolitan State University of Denver,Denver
553,554,5413,Illinois Wesleyan University,Bloomington
554,555,6736,Southern Utah University,Cedar City
555,556,6528,Providence College,Providence
556,557,5829,Augsburg University,Minneapolis
557,558,5723,Lesley University,Cambridge
558,559,9102,Northeastern Illinois University,Chicago
559,560,5804,Kettering University,Flint
560,561,6010,Kean University,Union
561,562,6464,Messiah University,Mechanicsburg
562,563,5068,Golden Gate University,San Francisco
563,564,6531,Roger Williams University,Bristol
564,565,6436,Elizabethtown College,Elizabethtown
565,566,6786,University of Mary Washington,Fredericksburg
566,567,5523,University of Indianapolis,Indianapolis
567,568,16915,St Petersburg College,St. Petersburg
568,569,6281,Cedarville University,Cedarville
569,570,6807,Virginia Military Institute,Lexington
570,571,6511,University of Scranton,Scranton
571,572,6640,Angelo State University,San Angelo
572,573,6695,Texas Southern University,Houston
573,574,6274,Bluffton University,Bluffton
574,575,6098,Le Moyne College,Syracuse
575,576,5972,University of Nebraska at Kearney,Kearney
576,577,14940,"The Citadel, The Military College of South Carolina",Charleston
577,578,6783,Longwood University,Farmville
578,579,5230,University of New Haven,West Haven
579,580,6155,SUNY Brockport,Brockport
580,581,6403,University of Portland,Portland
581,582,6045,Alfred University,Alfred
582,583,6757,Saint Michael's College,Colchester
583,584,6590,Austin Peay State University,Clarksville
584,585,6465,Millersville University of Pennsylvania,Millersville
585,586,6728,University of the Incarnate Word,San Antonio
586,587,6233,North Carolina Central University,Durham
587,588,5579,Pittsburg State University,Pittsburg
588,589,5696,Assumption University,Worcester
589,590,5589,Bellarmine University,Louisville
590,591,5039,"California State University, Monterey Bay",Seaside
591,592,5451,Roosevelt University,Chicago
592,593,6151,St. Lawrence University,Canton
593,594,6293,Franklin University,Columbus
594,595,6119,New York Law School,New York City
595,596,6053,Canisius College,Buffalo
596,597,6653,Houston Baptist University,Houston
597,598,5192,Regis University,Denver
598,599,5217,Southern Connecticut State University,New Haven
599,600,6246,University of North Carolina at Asheville,Asheville
600,601,5678,Maryland Institute College of Art,Baltimore
601,602,6452,La Salle University,Philadelphia
602,603,5839,Gustavus Adolphus College,St. Peter
603,604,6016,Ramapo College of New Jersey,Mahwah
604,605,6682,Tarleton State University,Stephenville
605,606,6250,University of North Carolina at Pembroke,Pembroke
606,607,5017,California College of the Arts,San Francisco
607,608,6297,John Carroll University,University Heights
608,609,6685,Texas A&amp;M University-Commerce,Commerce
609,610,6382,George Fox University,Newberg
610,611,6271,Ashland University,Ashland
611,612,6754,Norwich University,Northfield
612,613,6411,Muhlenberg College,Allentown
613,614,6206,Campbell University,Buies Creek
614,615,5399,Elmhurst University,Elmhurst
615,616,6491,Seton Hill University,Greensburg
616,617,16941,University of St. Augustine for Health Sciences,San Marcos
617,618,4933,Jacksonville State University,Jacksonville
618,619,6144,St. Bonaventure University,St. Bonaventure
619,620,6171,SUNY Downstate Medical Center,Brooklyn
620,621,6679,St. Mary's University,San Antonio
621,622,6415,Bloomsburg University of Pennsylvania,Bloomsburg
622,623,6109,Mercy College,Dobbs Ferry
623,624,5318,Clark Atlanta University,Atlanta
624,625,5291,Saint Leo University,Saint Leo
625,626,6525,Bryant University,Smithfield
626,627,5019,California Institute of Integral Studies,San Francisco
627,628,5253,Barry University,Miami
628,629,5157,University of Redlands,Redlands
629,630,6633,The University of Tennessee Health Science Center,Memphis
630,631,6368,Oral Roberts University,Tulsa
631,632,5769,Albion College,Albion
632,633,5022,California Lutheran University,Thousand Oaks
633,634,5488,Goshen College,Goshen
634,635,6743,Bennington College,Bennington
635,636,5134,Saint Mary's College of California,Moraga
636,637,5438,North Central College,Naperville
637,638,6677,Southwestern University,Georgetown
638,639,5805,Lake Superior State University,Sault Ste. Marie
639,640,5031,California State University Channel Islands,Camarillo
640,641,5030,"California State University, Bakersfield",Bakersfield
641,642,5873,Jackson State University,Jackson
642,643,6891,University of Wisconsin-Parkside,Kenosha
643,644,5836,Concordia College,Moorhead
644,645,5379,Augustana College,Rock Island
645,646,6321,Ohio Northern University,Ada
646,647,6892,University of Wisconsin-Platteville,Platteville
647,648,6219,High Point University,High Point
648,649,5627,University of Louisiana at Monroe,Monroe
649,650,5302,The University of Tampa,Tampa
